cargas;forca;Lo;L;x;K
1;0.10;27;29.9;0.0029;34.48
2;0.15;27;31.3;0.0043;34.88
3;0.18;27;;;
4;0.23;27.00;34.00;0.0070;32.86
5;0.31;27;35.53;0.0085;36.34
6;0.45;27.00;41.40;0.0144;31.25
7;0.55;27.00;44.2;0.0172;31.98
8;0.68;27.00;47.20;0.0202;33.66
9;0.72;27.00;50.00;0.0230;31.30
10;0.83;27.00;51.9;0.0249;33.33
11;1.05;27;58;0.031;33.87
12;1.15;27;61.2;0.0342;33.63
13;1.21;27.00;66.00;0.0390;31.03
14;1.23;27.00;66.30;0.0393;31.30
15;1.35;27.00;69.3;0.0423;31.91
16;1.55;27;76.40;0.0494;31.38
17;1.71;27.00;82.50;0.0555;30.81
18;1.75;27.00;83.80;0.0568;30.81
19;1.92;27.00;91.7;0.0647;29.68
20;2.04;27.00;94.6;0.0676;30.18
21;2.15;27.00;97.40;0.0704;30.54
22;2.19;27.00;98.50;0.0715;30.63
23;2.25;27.00;99.74;0.07274;30.93
24;2.4;27.00;105.5;0.0785;30.57
25;2.55;27.00;108.2;0.0812;31.40
26;2.72;27.00;112.3;0.0853;31.89
27;2.85;27.00;119.5;0.0925;30.81
28;3.00;27;124.5;0.0975;30.77
29;3.10;27;1918;1.891;1.64
30;3.20;27;133.6;0.1066;30.02
