datas,codigo,tipo,simbolo,compra,venda
1072024,220,A,USD,5.5887,5.5893
2072024,220,A,USD,5.6671,5.6677
3072024,220,A,USD,5.5857,5.5863
4072024,220,A,USD,5.4833,5.4839
5072024,220,A,USD,5.4964,5.497
8072024,220,A,USD,5.4714,5.472
9072024,220,A,USD,5.4381,5.4387
10072024,220,A,USD,5.3961,5.3967
11072024,220,A,USD,5.4094,5.41
12072024,220,A,USD,5.4523,5.4529
15072024,220,A,USD,5.4557,5.4563
16072024,220,A,USD,5.4268,5.4274
17072024,220,A,USD,5.4664,5.467
18072024,220,A,USD,5.542,5.5426
19072024,220,A,USD,5.5537,5.5543
22072024,220,A,USD,5.5592,5.5598
23072024,220,A,USD,5.5801,5.5807
24072024,220,A,USD,5.634,5.6346
25072024,220,A,USD,5.6396,5.6402
26072024,220,A,USD,5.6459,5.6465
29072024,220,A,USD,5.6473,5.6479
30072024,220,A,USD,5.6526,5.6532
31072024,220,A,USD,5.6615,5.6621
